Username,Uploads,Views
,,
b'T-Series',"b'15,615'","b'160,873,764,683'"
,,
b'Cocomelon - Nursery Rhymes',b'669',"b'106,524,532,264'"
,,
b'SET India',"b'62,087'","b'94,037,940,401'"
,,
b'WWE',"b'55,976'","b'60,773,130,387'"
,,
b'Like Nastya',b'600',"b'60,262,347,961'"
,,
b'\xe2\x9c\xbf Kids Diana Show',b'901',"b'60,156,910,773'"
,,
b'Sony SAB',"b'38,800'","b'58,733,222,222'"
,,
b'Movieclips',"b'37,519'","b'52,917,888,463'"
,,
b'Vlad and Niki',b'376',"b'51,633,664,703'"
,,
"b""Ryan's World""","b'2,026'","b'48,060,021,502'"
,,
b'netd m\xc3\xbczik',"b'16,448'","b'44,644,913,314'"
,,
b'ABS-CBN Entertainment',"b'161,731'","b'43,396,243,602'"
,,
b'El Reino Infantil',"b'1,040'","b'41,754,784,143'"
,,
b'Zee Music Company',"b'5,584'","b'39,466,869,129'"
,,
b'Colors TV',"b'60,437'","b'37,187,193,043'"
,,
b'Canal KondZilla',"b'1,943'","b'35,004,971,739'"
,,
b'Little Baby Bum - Nursery Rhymes &\xe2\x80\xa6',"b'1,502'","b'33,436,152,856'"
,,
b'ChuChu TV Nursery Rhymes & Kids So\xe2\x80\xa6',b'419',"b'32,883,965,830'"
,,
b'Wave Music',"b'18,372'","b'32,087,783,964'"
,,
b'WorkpointOfficial',"b'56,232'","b'31,033,722,720'"
,,
b'Toys and Colors',b'628',"b'30,696,613,040'"
,,
b'Super Simple Songs - Kids Songs',b'557',"b'29,418,346,909'"
,,
b'\xd0\x9c\xd0\xb0\xd1\x88\xd0\xb0 \xd0\xb8 \xd0\x9c\xd0\xb5\xd0\xb4\xd0\xb2\xd0\xb5\xd0\xb4\xd1\x8c',b'990',"b'29,167,652,360'"
,,
b'PewDiePie',"b'4,378'","b'27,606,078,012'"
,,
b'Get Movies',"b'3,012'","b'26,148,070,074'"
,,
b'Shemaroo Filmi Gaane',"b'7,321'","b'25,742,013,862'"
,,
b'Justin Bieber',b'228',"b'25,538,320,495'"
,,
"b""Pinkfong Baby Shark - Kids' Songs \xe2\x80\xa6""","b'1,887'","b'25,161,310,835'"
,,
b'one31',"b'110,364'","b'24,113,604,414'"
,,
b'LooLoo Kids - Nursery Rhymes and C\xe2\x80\xa6',b'508',"b'24,099,063,536'"
,,
b'Ed Sheeran',b'174',"b'24,007,903,525'"
,,
b'YRF',"b'3,057'","b'23,664,750,100'"
,,
b'JustinBieberVEVO',b'185',"b'23,358,429,371'"
,,
b'GMANetwork',"b'99,086'","b'22,809,758,038'"
,,
b'\xd9\x82\xd9\x86\xd8\xa7\xd8\xa9 \xd8\xb7\xd9\x8a\xd9\x88\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xac\xd9\x86\xd8\xa9 | toy\xe2\x80\xa6',"b'2,969'","b'22,591,084,296'"
,,
b'Taylor Swift',b'188',"b'22,590,103,523'"
,,
b'Katy Perry',b'107',"b'22,214,124,948'"
,,
b'TheEllenShow',"b'13,256'","b'21,867,563,902'"
,,
b'SMTOWN',"b'3,719'","b'21,654,887,535'"
,,
b'Tips Official',"b'3,079'","b'21,559,789,416'"
,,
b'KatyPerryVEVO',b'164',"b'21,317,028,900'"
,,
b'TaylorSwiftVEVO',b'196',"b'21,232,905,466'"
,,
b'Shakira',b'254',"b'21,120,715,805'"
,,
b'Ch3Thailand',"b'81,532'","b'20,948,753,400'"
,,
b'Speed Records',"b'9,390'","b'20,901,754,005'"
,,
b'5-Minute Crafts',"b'4,778'","b'20,625,771,801'"
,,
b'GMM GRAMMY OFFICIAL',"b'9,540'","b'20,582,939,633'"
,,
b'GR6 EXPLODE',"b'3,753'","b'20,457,046,045'"
,,
b'1theK (\xec\x9b\x90\xeb\x8d\x94\xec\xbc\x80\xec\x9d\xb4)',"b'14,829'","b'20,412,868,891'"
,,
b'EminemMusic',b'136',"b'20,308,646,388'"
